MATERIAL	DESC_MAT	QTDE	X	Y	Z
03.96.37	BOTINA CADARCO 50B29C PAP MEX SRV 35 BOTINA AMAR B	8,00	I	023	5
03.96.378	BOTINA CADARCO 50B29C PAP MEX SRV 36 BOTINA AMAR B	8,00	I	023	2
03.96.383	BOTINA CADARCO 50B29C PAP MEX SRV 36 BOTINA CADARC	3,00	A	030	2
03.96.384	BOTINA CADARCO 50B29C PAP MEX SRV 41 BOTINA AMAR B	19,00	I	021	2
03.96.384	BOTINA CADARCO 50B29C PAP MEX SRV 41 BOTINA AMAR B	4,00	N	017	1
03.96.385	BOTINA CADARCO 50B29C PAP MEX SRV 42 BOTINA AMAR B	23,00	I	021	2
03.96.386	BOTINA CADARCO 50B29C PAP MEX SRV 43 BOTINA AMAR B	17,00	I	021	2
03.96.387	BOTINA CADARCO 50B29C PAP MEX SRV 44 BOTINA AMAR B	7,00	I	023	2
100115	100115-BUCHA DESLIZANTE EM ACO, MODELO 2.952 DE, 2	3,00	A	028	2
100126	100126-BUCHA SLIDE 4.875 DE, 4.010 FURO 5.25-12 RO	2,00	A	028	2
100140	100140-BUCHA ACO ENDURECIDO, P-64-10 PARA USO NO S	3,00	A	028	2
100144	100144-EXTREMIDADE DA HASTE MACHO .50 RESPONSAVEL	1,00	A	028	2
100148	100148-VEDACAO DE HASTE UTILIZADO PARA REALIZAR A	3,00	A	028	2
100542	DISJUNTOR CB 4A 1P 480V, REF. LORAM 100542, PARA U	2,00	A	027	2
100542	DISJUNTOR CB 4A 1P 480V, REF. LORAM 100542, PARA U	2,00	A	028	2
100543	DISJUNTOR CB 16A 1 P 480V, REF. LORAM 100543, PARA	2,00	A	028	2
100543	DISJUNTOR CB 16A 1 P 480V, REF. LORAM 100543, PARA	2,00	A	028	2
100563	CARTAO DRIVER DE VALVULA, PLC LOCKER ASSY LH RH, P	2,00	A	027	2
100563	CARTAO DRIVER DE VALVULA, PLC LOCKER ASSY LH RH, P	7,00	K	003	3
100563	CARTAO DRIVER DE VALVULA, PLC LOCKER ASSY LH RH, P	1,00	K	022	1
100564	DISJUNTOR CB 8A 1P 480V, REF. LORAM 100564, PARA U	2,00	A	028	2
100564	DISJUNTOR CB 8A 1P 480V, REF. LORAM 100564, PARA U	2,00	A	028	2
100663-0036.50	100663-0036.50-MANGUEIRA DE BORRACHA COM ACESSORIO	1,00	A	029	4
100663-0048.00	100663-0048.00-MANGUEIRA DE BORRACHA COM ACESSORIO	1,00	A	029	4
100848	100848-CONECTOR, RESPONSAVEL PELO FECHAMENTO ENTRE	1,00	A	028	2
101011	101011-VALVULA DE RETENCAO 5000PSI 160GPM, HYD 3PS	1,00	A	028	2
101440	101440 - FONTE DE ENERGIA, UTILIZADA PARA TRANSFOR	1,00	0	0	0
101472	DISJUNTOR 32A 1 P 480 V, REF. LORAM 101472 DISJUNT	2,00	A	027	2
101472	DISJUNTOR 32A 1 P 480 V, REF. LORAM 101472 DISJUNT	2,00	A	028	2
101472	DISJUNTOR 32A 1 P 480 V, REF. LORAM 101472 DISJUNT	2,00	I	018	1
101473	DISJUNTOR CB 10A 1P 480V, REF. LORAM 101473, PARA	2,00	A	027	2
101473	DISJUNTOR CB 10A 1P 480V, REF. LORAM 101473, PARA	1,00	A	027	2
101473	DISJUNTOR CB 10A 1P 480V, REF. LORAM 101473, PARA	4,00	A	027	2
101473	DISJUNTOR CB 10A 1P 480V, REF. LORAM 101473, PARA	4,00	A	028	2
101475	DISJUNTOR ELETRICO DE 2 AMPERES 1 POLO 480 VOLTS,	2,00	A	027	2
101475	DISJUNTOR ELETRICO DE 2 AMPERES 1 POLO 480 VOLTS,	2,00	A	027	2
101475	DISJUNTOR ELETRICO DE 2 AMPERES 1 POLO 480 VOLTS,	2,00	A	027	2
101475	DISJUNTOR ELETRICO DE 2 AMPERES 1 POLO 480 VOLTS,	2,00	A	028	2
101654	101654-TERMINAL DESCONEXAO RAPIDA UTILIZADO NO SET	2,00	K	003	3
102577	102577-ADITIVO REFRIGERANTE A BASE DE ETILENO GLIC	25,00	I	023	4
103107	103107-FUSIVEL 2 AMPERES 250 V PARA USO EM MAQUINA	2,00	A	028	2
103196	UCON (TM) HYDROLUBE HP-5046D (I) UCON (TM) HYDROLU	427,28	J	020	1
103196	UCON (TM) HYDROLUBE HP-5046D (I) UCON (TM) HYDROLU	630,49	L	003	1
103196	UCON (TM) HYDROLUBE HP-5046D (I) UCON (TM) HYDROLU	854,56	L	020	1
103488	103488-RETIFICADOR ELETRICO PARA USO EM VEICULO FE	1,00	A	028	2
104256	VALVULA DE CONTROLE DE PRESSAO PARA USO EM ESMERIL	1,00	A	028	2
105258	105258-CARTAO PARA SIRENE DE MAQUINA FERROVIARIA 1	1,00	A	028	2
105326	105326-PARAFUSO CABECA PERFURADA 0.50-13 NCX 2.00	50,00	A	028	2
105970	CENTRO DO MOTOR DO LIMPADOR DE PARABRISA, REF. LOR	1,00	I	025	3
106021	2 - REP07DNP - RESPIRO DE AR ROSCA 3/4NPT PRESSURI	5,00	J	022	1
106021	2 - REP07DNP - RESPIRO DE AR ROSCA 3/4NPT PRESSURI	2,00	J	022	1
106333	106333-SENSOR 0-50 AMP, CA 4-20MA UTILIZADO NOS TR	1,00	A	028	2
106504	106504-BOMBA HIDRAULICA DE PISTAO, C4 FLANGE 14T S	1,00	I	023	4
107080	107080-RELE 120VAC SPDT PARA USO NO SETOR FERROVIA	3,00	A	027	2
107081	107081-LAMINA SPDT DA BASE DO RELE RESPONSAVEL PEL	3,00	A	028	2
107166	107166-FIO 12 AWG VERDE/AMERELO, UTILIZADO PARA FA	6,10	0	0	0
107390	107390-RELE 24VOLTS CORRENTE CONTINUA PADRAO LAMIN	1,00	A	028	2
107390	107390-RELE 24VOLTS CORRENTE CONTINUA PADRAO LAMIN	1,00	I	024	2
108541	FONTE DE ALIMENTACAO COM BATERIA E CABO DE CONEXAO	1,00	A	027	3
108541	FONTE DE ALIMENTACAO COM BATERIA E CABO DE CONEXAO	1,00	J	022	1
108541	FONTE DE ALIMENTACAO COM BATERIA E CABO DE CONEXAO	2,00	J	023	2
108547-6	HOSE HYDRAULIC -6 GH195 BLUE AQ AQP MATERIAL	71,37	0	0	0
108566	108566-FIO 16 GA VERMELHO, UTILIZADO PARA FAZER A	31,09	0	0	0
108567	108567-FIO 16 GA VERDE/AMARELO, UTILIZADO PARA FAZ	10,36	0	0	0
108568	FIO #16 AWG 600V AZUL PVC 90C RESPONSAVEL PELA LIG	77,00	0	0	0
108568	FIO #16 AWG 600V AZUL PVC 90C RESPONSAVEL PELA LIG	50,00	A	027	2
108743	VALVULA ESFERA 0.75 NPT BRONZE 400 PSI, REF. LORAM	1,00	A	028	2
109298	CABLE ETHERNET STRAIGHT; 6 FT CAT5E RJ45 TO RJ45 -	12,00	A	028	2
109475	109475-INTERRUPTOR DE ALTERNAR 3 POSICOES, NYLON P	1,00	A	028	2
109788	109788-INSERTO DE ACOPLAMENTO DO EIXO, MODELO 500	2,00	A	028	2
109789	109789-CUBO DE ACOPLAMENTO HUB SPLINE 14T 12/24 SP	1,00	A	028	2
110809	110809-TELA METALICA DE COBRE PARA O FILTRO DE MAQ	1,00	A	028	2
112954	112954-MODULO DE CONTROLADOR PROGRAMAVEL PARA USO	1,00	I	025	2
112991	112991-ALAVANCA DE ACELERADOR DE DIRECAO UNICA UTI	1,00	A	028	2
113604	113604-CILINDRO HIDRAULICO,RESPONSAVEL POR REALIZA	1,00	A	029	4
113622	MODULO OTICO DE INTERFACE DO ENCODER ISOLADOR, REF	1,00	A	027	2
113622	MODULO OTICO DE INTERFACE DO ENCODER ISOLADOR, REF	1,00	J	022	1
113754	113754-CABO DE CONEXAO,RESPONSAVEL POR REALIZAR A	1,00	A	027	3
113802	PLUGUE FEMEA POSILOK VERDE	1,00	J	022	1
113807	113807-CONJUNTO DE RODAS PARA USO EM ESMERILHADORA	1,00	I	023	4
113879	113879-SUPORTE DE ACO PARA MAQUINA FERROVIARIA 113	1,00	A	028	2
113909	113909-ARO DA RODA-16 POLEGADAS PARA USO EXCLUSIVA	5,00	I	020	3
114348	PLC MOD DIGITAL INPUT; 16 INPUTS 24 VOLTS DC MODUL	1,00	A	027	2
114348	PLC MOD DIGITAL INPUT; 16 INPUTS 24 VOLTS DC MODUL	1,00	A	028	2
114351	PLC MOD DIGITAL OUTPUT; 16 CONTACT OUTPUTS 2 AMPS	1,00	K	020	1
114351	PLC MOD DIGITAL OUTPUT; 16 CONTACT OUTPUTS 2 AMPS	1,00	K	020	1
114352	PLC ENTRADA ANALOGICA, 16 EXTREMIDADE UNICA 8 DIFF	4,00	A	028	2
114352	PLC ENTRADA ANALOGICA, 16 EXTREMIDADE UNICA 8 DIFF	2,00	K	020	1
114352	PLC ENTRADA ANALOGICA, 16 EXTREMIDADE UNICA 8 DIFF	1,00	K	020	1
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	1,00	A	027	2
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	1,00	A	027	2
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	4,00	A	028	2
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	1,00	K	003	3
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	3,00	K	022	2
114355	PLC MOD COUNTER; 2 HIGH SPEED COUNTERS PLC MOD COU	1,00	A	028	2
114358	114358-MODULO CONTROLADOR LOGICO PROGRAMAVEL DO DI	1,00	A	027	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	027	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	027	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	028	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	028	2
114465	CONTACTOR 30.0 HP IEC; 120 VAC COIL NO CONTACTS CO	2,00	A	027	2
114465	CONTACTOR 30.0 HP IEC; 120 VAC COIL NO CONTACTS CO	2,00	A	028	2
114477	PLC IFM 25P ANLG; THRU PLC IFM 25P ANLG; THRU PLC	1,00	A	027	2
114489	MODULO PLC IFM 20P DIGITAL, FEED-THRU UTILIZADO NO	1,00	A	027	2
114490	PLC IFM 40P DIG; FUSED ISO PLC IFM 40P DIG; FUSED	1,00	A	027	2
114722-0026.00	114722-0026.00-MANGUEIRA DE BORRACHA COM CONEXOES	3,00	A	028	2
114722-0031.00	114722-0031.00-MANGUEIRA DE BORRACHA COM CONEXOES	3,00	A	029	4
114722-0042.00	114722-0042.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	A	029	4
114722-0106.00	114722-0106.00-MANGUEIRA DE BORRACHA COM CONEXOES	2,00	A	029	4
114724-0041.00	114724-0041.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	I	010	3
114724-0126.00	114724-0126.00-MANGUEIRA DE BORRACHA MONTADA 06 08	3,00	I	010	3
114726-0024.00	114726-0024.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	I	010	3
114726-0030.00	114726-0030.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	I	010	3
